group,N,ACT@1 no_llm (mean±std),ACT@1 filter (mean±std),ACT@3 no_llm (mean±std),ACT@3 filter (mean±std),ACT@5 no_llm (mean±std),ACT@5 filter (mean±std)
sensor_only,102,0.039 ± 0.195,0.039 ± 0.195,0.294 ± 0.458,0.294 ± 0.458,0.451 ± 0.500,0.480 ± 0.502
sensor+actuator,184,0.440 ± 0.498,0.440 ± 0.498,0.679 ± 0.468,0.679 ± 0.468,0.815 ± 0.389,0.815 ± 0.389
ALL,286,0.297 ± 0.458,0.297 ± 0.458,0.542 ± 0.499,0.542 ± 0.499,0.685 ± 0.465,0.696 ± 0.461
