split,model,Threshold,Accuracy,Precision,Recall,F1,AUC,n_samples,positive_rate_true,Coverage
test_cost,RF,0.3740 ± 0.0135,0.7857 ± 0.0035,0.9560 ± 0.0093,0.7275 ± 0.0041,0.8262 ± 0.0022,0.8570 ± 0.0048,400,0.7,1.0000 ± 0.0000
test_cost,TCN,0.1450 ± 0.1746,0.7595 ± 0.0369,0.9616 ± 0.0289,0.6854 ± 0.0634,0.7981 ± 0.0395,0.8569 ± 0.0225,400,0.7,1.0000 ± 0.0000
test_cost,XGB,0.3130 ± 0.0116,0.7908 ± 0.0041,0.9500 ± 0.0048,0.7400 ± 0.0041,0.8320 ± 0.0033,0.8619 ± 0.0057,400,0.7,1.0000 ± 0.0000
test_main,RF,0.3740 ± 0.0135,0.8289 ± 0.0016,0.9690 ± 0.0045,0.7805 ± 0.0045,0.8646 ± 0.0015,0.9018 ± 0.0016,4000,0.7,1.0000 ± 0.0000
test_main,TCN,0.1450 ± 0.1746,0.8117 ± 0.0260,0.9546 ± 0.0264,0.7692 ± 0.0518,0.8504 ± 0.0260,0.8924 ± 0.0186,4000,0.7,1.0000 ± 0.0000
test_main,XGB,0.3130 ± 0.0116,0.8332 ± 0.0022,0.9712 ± 0.0048,0.7850 ± 0.0057,0.8682 ± 0.0022,0.9011 ± 0.0019,4000,0.7,1.0000 ± 0.0000
val,RF,0.3740 ± 0.0135,0.8364 ± 0.0009,0.9577 ± 0.0051,0.8066 ± 0.0037,0.8757 ± 0.0004,0.8627 ± 0.0007,12628,0.7142857142857143,1.0000 ± 0.0000
val,TCN,0.1450 ± 0.1746,0.8599 ± 0.0121,0.9491 ± 0.0272,0.8507 ± 0.0235,0.8966 ± 0.0085,0.9165 ± 0.0187,12628,0.7142857142857143,1.0000 ± 0.0000
val,XGB,0.3130 ± 0.0116,0.8475 ± 0.0008,0.9642 ± 0.0041,0.8169 ± 0.0033,0.8844 ± 0.0006,0.9020 ± 0.0006,12628,0.7142857142857143,1.0000 ± 0.0000
