comparison,n_features,avg_mean_abs_diff,avg_std_abs_diff,avg_ks_stat,median_ks_pvalue,ks_reject_ratio_0.05,avg_wasserstein,mmd_rbf,pca_centroid_normal_vs_transition,pca_centroid_normal_vs_post_shift,tsne_centroid_normal_vs_transition,tsne_centroid_normal_vs_post_shift
normal vs shift,52,1.856909052770912,8.923926905617583,0.1130837912087912,6.371280182301107e-11,0.8269230769230769,3.954541012120436,0.0374574199370265,0.2968412918554938,1.2820251550063084,3.65519642829895,8.551576614379883
normal vs transition,52,0.6137245771421677,2.5782820911107973,0.0901682692307692,0.0007941878151336,0.7307692307692307,1.4198007817152427,0.0141799333829684,0.2968412918554938,1.2820251550063084,3.65519642829895,8.551576614379883
normal vs post_shift,52,2.398221955201912,10.47095000115821,0.1311217948717948,3.047800353942711e-13,0.8846153846153846,5.004423557578448,0.0562463146519791,0.2968412918554938,1.2820251550063084,3.65519642829895,8.551576614379883
