Failure Type,Count,Rate,Avg Entropy,Avg Discrepancy,LLM Call Rate
confident_false_negative,8,0.002,0.5298946858570162,0.07975079421660072,0.0
correct,3376,0.844,0.4055562110225089,0.09026826910011089,0.06131516587677725
false_alarm,232,0.058,0.7592561267822069,0.15229624495730607,0.6594827586206896
shortcut_false_negative,384,0.096,0.5977353595877496,0.09862947769599939,0.0
