Method,Ave. F1,PRR,Worst-Case Recall (P5),Instability (Var)
Avg. Ensemble (Base),0.8723 ± 0.0054,0.9310 ± 0.0037,0.0582 ± 0.1294,0.0181 ± 0.0004
ModernTCN (Base),0.8504 ± 0.0260,0.9035 ± 0.0418,0.2308 ± 0.2501,0.0406 ± 0.0018
RF (Base),0.8646 ± 0.0015,0.9677 ± 0.0028,0.0337 ± 0.0182,0.0174 ± 0.0001
UTAR (Proposed),0.8835 ± 0.0073,0.9807 ± 0.0110,0.1758 ± 0.1920,0.0254 ± 0.0014
XGB (Base),0.8682 ± 0.0022,0.9609 ± 0.0035,0.0807 ± 0.0488,0.0184 ± 0.0001
