q,Model,Gray Ratio,F1
0.6,RF (Base),0.8376 ± 0.1895,0.7536 ± 0.0024
0.6,XGB (Base),0.7980 ± 0.2066,0.7849 ± 0.0033
0.6,TCN (Base),0.4580 ± 0.0354,0.7010 ± 0.0105
0.6,Avg. Ensemble (Base),0.7672 ± 0.2097,0.6669 ± 0.0095
0.6,UTAR (Proposed),0.7664 ± 0.2139,0.8319 ± 0.0205
0.65,RF (Base),0.8448 ± 0.1904,0.7536 ± 0.0024
0.65,XGB (Base),0.8132 ± 0.2051,0.7849 ± 0.0033
0.65,TCN (Base),0.4608 ± 0.0347,0.7010 ± 0.0105
0.65,Avg. Ensemble (Base),0.7760 ± 0.2093,0.6669 ± 0.0095
0.65,UTAR (Proposed),0.7900 ± 0.2125,0.8319 ± 0.0205
0.7,RF (Base),0.8544 ± 0.1900,0.7536 ± 0.0024
0.7,XGB (Base),0.8276 ± 0.2086,0.7849 ± 0.0033
0.7,TCN (Base),0.4636 ± 0.0363,0.7010 ± 0.0105
0.7,Avg. Ensemble (Base),0.7840 ± 0.2065,0.6669 ± 0.0095
0.7,UTAR (Proposed),0.8096 ± 0.2123,0.8319 ± 0.0205
0.75,RF (Base),0.8588 ± 0.1905,0.7536 ± 0.0024
0.75,XGB (Base),0.8344 ± 0.2088,0.7849 ± 0.0033
0.75,TCN (Base),0.4668 ± 0.0370,0.7010 ± 0.0105
0.75,Avg. Ensemble (Base),0.7924 ± 0.2044,0.6669 ± 0.0095
0.75,UTAR (Proposed),0.8252 ± 0.2109,0.8319 ± 0.0205
0.8,RF (Base),0.8648 ± 0.1916,0.7536 ± 0.0024
0.8,XGB (Base),0.8468 ± 0.2063,0.7849 ± 0.0033
0.8,TCN (Base),0.4692 ± 0.0399,0.7010 ± 0.0105
0.8,Avg. Ensemble (Base),0.8016 ± 0.2006,0.6669 ± 0.0095
0.8,UTAR (Proposed),0.8412 ± 0.2064,0.8319 ± 0.0205
0.85,RF (Base),0.8696 ± 0.1924,0.7536 ± 0.0024
0.85,XGB (Base),0.8588 ± 0.2067,0.7849 ± 0.0033
0.85,TCN (Base),0.4720 ± 0.0410,0.7010 ± 0.0105
0.85,Avg. Ensemble (Base),0.8080 ± 0.1987,0.6669 ± 0.0095
0.85,UTAR (Proposed),0.8540 ± 0.2068,0.8319 ± 0.0205
0.9,RF (Base),0.8756 ± 0.1925,0.7536 ± 0.0024
0.9,XGB (Base),0.8712 ± 0.2066,0.7849 ± 0.0033
0.9,TCN (Base),0.4780 ± 0.0457,0.7010 ± 0.0105
0.9,Avg. Ensemble (Base),0.8216 ± 0.1953,0.6669 ± 0.0095
0.9,UTAR (Proposed),0.8668 ± 0.2095,0.8319 ± 0.0205
