Method,F1 Mean,F1 SD,Recall Mean,Recall SD
RF (Base),0.851086246654679,0.0009614963010877607,0.7648571428571429,0.005684071909237961
TCN (Base),0.7955798802864705,0.0058528930906416995,0.6686428571428571,0.012544309222812959
UTAR (Proposed),0.8550499749148102,0.016812782360805165,0.7558571428571428,0.026088057319276922
XGB (Base),0.8538518125010144,0.0022614225266275613,0.7710714285714285,0.008280016513835448
