feature,smd,abs_smd
xmv_4,0.1742748746131151,0.1742748746131151
xmv_1,0.17119525042613581,0.17119525042613581
xmv_3,0.1506931839786582,0.1506931839786582
xmeas_16,0.13363212086202048,0.13363212086202048
xmeas_7,0.13309110198216828,0.13309110198216828
xmeas_13,0.12723251561922197,0.12723251561922197
xmv_11,0.12037852015562807,0.12037852015562807
xmeas_34,-0.11652188756926626,0.11652188756926626
xmeas_25,0.11102713599693301,0.11102713599693301
xmeas_31,0.10852734620577247,0.10852734620577247
xmeas_11,-0.10711616435986158,0.10711616435986158
xmeas_28,-0.10608360267234314,0.10608360267234314
xmeas_19,0.10331267311891686,0.10331267311891686
xmeas_35,-0.09430912022024412,0.09430912022024412
xmeas_36,-0.09213068675084478,0.09213068675084478
xmv_2,0.08500067779077153,0.08500067779077153
xmeas_33,-0.07299514622295653,0.07299514622295653
xmeas_27,-0.07243660839609975,0.07243660839609975
xmeas_30,-0.060655702740397506,0.060655702740397506
xmeas_4,0.05950399796055862,0.05950399796055862
xmeas_8,-0.05946624546652896,0.05946624546652896
xmeas_18,0.05841432099528604,0.05841432099528604
xmeas_22,-0.05643619561460045,0.05643619561460045
xmeas_21,-0.05234074502055998,0.05234074502055998
xmeas_6,0.05071326860821594,0.05071326860821594
xmeas_29,-0.050356355998494515,0.050356355998494515
xmeas_14,-0.04886590992207183,0.04886590992207183
xmeas_10,0.04882373903193429,0.04882373903193429
xmeas_15,-0.046425713196526296,0.046425713196526296
xmv_8,-0.04642372949701965,0.04642372949701965
xmeas_23,-0.04364207358294514,0.04364207358294514
xmeas_5,-0.04304558376075744,0.04304558376075744
xmeas_40,-0.04204519332433392,0.04204519332433392
xmeas_24,-0.04200785192267688,0.04200785192267688
xmeas_26,-0.039897740059569115,0.039897740059569115
xmv_6,-0.035831831304168296,0.035831831304168296
xmeas_20,-0.03386266076408654,0.03386266076408654
xmv_5,0.030221171240019735,0.030221171240019735
xmeas_1,0.026014320540260497,0.026014320540260497
xmeas_38,-0.025140537095800747,0.025140537095800747
xmeas_39,-0.022630727701056865,0.022630727701056865
xmeas_41,-0.019541761857009204,0.019541761857009204
xmeas_9,-0.01825984183621319,0.01825984183621319
xmeas_2,0.01671576136882134,0.01671576136882134
xmeas_32,-0.014325494862369302,0.014325494862369302
xmeas_12,0.014048422444483497,0.014048422444483497
xmv_7,0.014042274470271572,0.014042274470271572
xmeas_17,-0.010597823938483885,0.010597823938483885
xmv_10,0.010222818460982597,0.010222818460982597
xmv_9,0.009705417526058828,0.009705417526058828
xmeas_37,0.006580309745666073,0.006580309745666073
xmeas_3,-0.0005776450801884974,0.0005776450801884974
