Strategy,q,Call Rate,F1-Score,Recall,PRR,Worst-Case Recall (P5),Gray Ratio,Cost (USD),Base Time (s),Routing Time (s),LLM Time (s),Inference Time (s),LLM Calls
Routing (q=0.20),0.2,0.0343 ± 0.0057,0.8815 ± 0.0076,0.8059 ± 0.0117,0.9631 ± 0.0115,0.0965 ± 0.2052,0.1621 ± 0.0086,0.0368 ± 0.0061,0.7745 ± 0.0000,0.0040 ± 0.0001,279.9742 ± 126.6129,280.7527 ± 126.6129,137.2000 ± 22.6657
Routing (q=0.40),0.4,0.0621 ± 0.0075,0.8835 ± 0.0073,0.8207 ± 0.0120,0.9807 ± 0.0110,0.1758 ± 0.1920,0.3075 ± 0.0091,0.0667 ± 0.0081,0.7745 ± 0.0000,0.0042 ± 0.0002,489.0586 ± 221.0803,489.8373 ± 221.0802,248.6000 ± 30.1669
Routing (q=0.60),0.6,0.0850 ± 0.0094,0.8830 ± 0.0068,0.8324 ± 0.0127,0.9947 ± 0.0111,0.2017 ± 0.2177,0.3999 ± 0.0087,0.0912 ± 0.0101,0.7745 ± 0.0000,0.0047 ± 0.0002,697.3906 ± 309.5455,698.1698 ± 309.5454,340.1000 ± 37.7843
Routing (q=0.65),0.65,0.0894 ± 0.0098,0.8825 ± 0.0070,0.8344 ± 0.0130,0.9971 ± 0.0111,0.2168 ± 0.2166,0.4133 ± 0.0082,0.0967 ± 0.0105,3.8415 ± 0.0000,0.0040 ± 0.0002,531.8053 ± 217.7912,535.6508 ± 217.7912,357.6000 ± 39.0077
Routing (q=0.70),0.7,0.0946 ± 0.0096,0.8824 ± 0.0069,0.8370 ± 0.0126,1.0002 ± 0.0112,0.2455 ± 0.2120,0.4248 ± 0.0074,0.1023 ± 0.0104,3.8415 ± 0.0000,0.0040 ± 0.0001,564.3820 ± 232.1833,568.2275 ± 232.1833,378.5000 ± 38.4253
Routing (q=0.75),0.75,0.0989 ± 0.0095,0.8825 ± 0.0069,0.8393 ± 0.0124,1.0030 ± 0.0117,0.2455 ± 0.2120,0.4349 ± 0.0065,0.1069 ± 0.0103,3.8415 ± 0.0000,0.0044 ± 0.0015,593.3901 ± 244.6817,597.2360 ± 244.6813,395.6000 ± 38.0678
Routing (q=0.80),0.8,0.1036 ± 0.0098,0.8821 ± 0.0068,0.8411 ± 0.0127,1.0051 ± 0.0116,0.2455 ± 0.2120,0.4453 ± 0.0068,0.1120 ± 0.0107,3.8415 ± 0.0000,0.0039 ± 0.0001,625.2504 ± 261.3592,629.0958 ± 261.3592,414.3000 ± 39.3843
Routing (q=0.85),0.85,0.1077 ± 0.0101,0.8820 ± 0.0069,0.8426 ± 0.0129,1.0068 ± 0.0117,0.2455 ± 0.2120,0.4561 ± 0.0065,0.1165 ± 0.0109,3.8415 ± 0.0000,0.0040 ± 0.0001,650.8408 ± 272.6702,654.6863 ± 272.6702,430.9000 ± 40.4350
Routing (q=0.90),0.9,0.1123 ± 0.0104,0.8818 ± 0.0069,0.8431 ± 0.0128,1.0075 ± 0.0115,0.2455 ± 0.2120,0.4748 ± 0.0073,0.1214 ± 0.0113,3.8415 ± 0.0000,0.0043 ± 0.0012,678.7943 ± 288.5879,682.6401 ± 288.5877,449.0000 ± 41.7586
