Configuration,Ave. F1,PRR,Worst-Case Recall (P5),Instability,Inference Cost,Inference Time (s),Inference Time / Sample (ms)
Full Framework (UTAR),0.8835 ± 0.0073,0.9807 ± 0.0110,0.1758 ± 0.1920,0.0254 ± 0.0014,0.0667 ± 0.0081,489.8373 ± 221.0802,122.4593 ± 55.2700
w/o Selective LLM,0.8771 ± 0.0063,0.9422 ± 0.0100,0.0737 ± 0.1555,0.0158 ± 0.0007,0.0000 ± 0.0000,0.7807 ± 0.0002,0.1952 ± 0.0000
w/o Gray-Zone (Routing),0.8728 ± 0.0044,0.9323 ± 0.0063,0.0681 ± 0.1436,0.0181 ± 0.0004,0.0000 ± 0.0000,0.7807 ± 0.0002,0.1952 ± 0.0001
w/o Graph Smoothing,0.8836 ± 0.0072,0.9808 ± 0.0110,0.1758 ± 0.1920,0.0254 ± 0.0014,0.0666 ± 0.0081,597.9085 ± 88.8638,149.4771 ± 22.2160
w/o Ensemble Entropy,0.8728 ± 0.0054,1.0398 ± 0.0105,0.3857 ± 0.2029,0.0596 ± 0.0018,0.3292 ± 0.0098,2247.2670 ± 958.2261,561.8168 ± 239.5565
