seed,q,tau,gray_margin,gray_ratio_val,entropy_threshold,discrepancy_threshold
0,0.2,0.44000000000000006,0.18600181402042648,0.10943934114665822,0.830675799550928,1.0
1,0.2,0.4200000000000001,0.1702522334891174,0.1115774469433006,0.8246353011585789,1.0
2,0.2,0.4200000000000001,0.16336964698087547,0.10286664554957238,0.8222620845009118,1.0
3,0.2,0.4200000000000001,0.1674021434211688,0.10801393728222997,0.8045503878784305,1.0
4,0.2,0.39000000000000007,0.1385312768100812,0.10643015521064302,0.7990088616349428,1.0
5,0.2,0.4700000000000001,0.21432114959577767,0.10658853341780171,0.9103938380286576,1.0
6,0.2,0.4600000000000001,0.19508123421766368,0.10286664554957238,0.8555346698470289,1.0
7,0.2,0.4100000000000001,0.15713777738345802,0.10516312955337345,0.8050046153234993,1.0
8,0.2,0.44000000000000006,0.18137201889019702,0.10579664238200824,0.82522162034952,1.0
9,0.2,0.4100000000000001,0.1623750153803632,0.11252771618625278,0.8044288426918041,1.0
0,0.4,0.44000000000000006,0.241235084893641,0.2243427304402914,0.7569915059291992,1.0
1,0.4,0.4200000000000001,0.22576299048721568,0.22608489071903706,0.7493459808533804,1.0
2,0.4,0.4200000000000001,0.21897218681404726,0.21293949952486538,0.7475042315918604,1.0
3,0.4,0.4200000000000001,0.2208915809891127,0.21689895470383275,0.7391430897124733,1.0
4,0.4,0.39000000000000007,0.192053120575505,0.21388976876781754,0.7384347466049694,1.0
5,0.4,0.4700000000000001,0.27065797542703535,0.21222679759265126,0.8364969637013374,1.0
6,0.4,0.4600000000000001,0.25176780820457983,0.20969274627811213,0.7720579945000207,1.0
7,0.4,0.4100000000000001,0.2097344848280539,0.21634463097877732,0.7380666244270808,1.0
8,0.4,0.44000000000000006,0.23670155254961603,0.21721571111815013,0.7477693475433065,1.0
9,0.4,0.4100000000000001,0.214045454793048,0.22133354450427623,0.7384445167128284,1.0
0,0.6,0.44,0.2698527573814011,0.3093918276845106,0.7242475678176276,1.0
1,0.6,0.4200000000000001,0.2519909026140574,0.3098669623059867,0.7192300686879677,1.0
2,0.6,0.4200000000000001,0.2475565365716707,0.2990180551156161,0.7167022069662318,1.0
3,0.6,0.4200000000000001,0.2481104415463669,0.2984637313905606,0.710427382759839,1.0
4,0.6,0.39,0.2184655325245869,0.2965631929046563,0.7106872275828523,1.0
5,0.6,0.4700000000000001,0.3023138937479597,0.2998099461514095,0.7795133101716372,1.0
6,0.6,0.4600000000000001,0.2830791628843391,0.3018688628444726,0.7377086247118894,1.0
