Method,F1-Score (IID),F1-Score (TDS),Performance Drop(Δ),Worst-Case Recall (P5),Instability(Var)
ModernTCN,0.8966 ± 0.0085,0.8504 ± 0.0260,0.0463 ± 0.0242,0.2308 ± 0.2501,0.0406 ± 0.0018
AdapTable (2024),0.7395 ± 0.0130,0.7491 ± 0.0080,-0.0096 ± 0.0126,0.4650 ± 0.1490,0.0528 ± 0.0031
Cao et al. (2023),0.8976 ± 0.0031,0.8320 ± 0.0122,0.0656 ± 0.0130,0.0000 ± 0.0000,0.0406 ± 0.0023
UTAR (Ours),0.8998 ± 0.0046,0.8835 ± 0.0073,0.0164 ± 0.0083,0.1758 ± 0.1920,0.0254 ± 0.0014
