Method,Ave. F1,PRR,Worst-Case Recall (P5),Instability,Recall,Precision,AUC,Inference Time (s),Inference Time / Sample (ms)
RF (Base),0.8646 ± 0.0015,0.9677 ± 0.0028,0.0337 ± 0.0182,0.0174 ± 0.0001,0.7805 ± 0.0045,0.9690 ± 0.0045,0.9018 ± 0.0016,0.3322 ± 0.0799,0.0831 ± 0.0200
XGB (Base),0.8682 ± 0.0022,0.9609 ± 0.0035,0.0807 ± 0.0488,0.0184 ± 0.0001,0.7850 ± 0.0057,0.9712 ± 0.0048,0.9011 ± 0.0019,0.0156 ± 0.0101,0.0039 ± 0.0025
ModernTCN (Base),0.8504 ± 0.0260,0.9035 ± 0.0418,0.2308 ± 0.2501,0.0406 ± 0.0018,0.7692 ± 0.0518,0.9546 ± 0.0264,0.8924 ± 0.0186,0.2614 ± 0.0199,0.0653 ± 0.0050
Avg. Ensemble (Base),0.8723 ± 0.0054,0.9310 ± 0.0037,0.0582 ± 0.1294,0.0181 ± 0.0004,0.7791 ± 0.0119,0.9911 ± 0.0083,0.9165 ± 0.0071,0.6092 ± 0.0851,0.1523 ± 0.0213
UTAR (Proposed),0.8835 ± 0.0073,0.9807 ± 0.0110,0.1758 ± 0.1920,0.0254 ± 0.0014,0.8207 ± 0.0120,0.9569 ± 0.0113,0.8537 ± 0.0142,489.8373 ± 221.0802,122.4593 ± 55.2700
