dataset,q,seed,f1,recall,precision,roc_auc,gray_ratio,llm_call_rate,shortcut_filter_rate,xgb_shortcut_rate,instability,worst_case_recall,prr,ensemble_entropy_mean,model_discrepancy_mean,llm_calls,billed_llm_calls,cache_hits,cache_hit_rate,prompt_tokens,completion_tokens,total_tokens,cost_usd,avg_cost_per_call_usd,billed_prompt_tokens,billed_completion_tokens,billed_total_tokens,billed_cost_usd,billed_avg_cost_per_call_usd,llm_only_latency_ms,llm_only_avg_latency_ms_per_sample,billed_llm_only_latency_ms,billed_llm_only_avg_latency_ms_per_sample,uses_actual_api_usage,base_latency_ms,routing_feature_latency_ms,routing_overhead_ms,mode_wall_latency_ms,total_latency_ms,avg_latency_ms_per_sample,tau,gray_margin,entropy_threshold,discrepancy_threshold,mode
main,0.4,0,0.8878326996197718,0.8339285714285715,0.9491869918699188,0.8462950892857144,0.3165,0.0725,0.244,0.244,0.0250105286016695,0.58,1.0014692736367612,0.4557748877590871,0.0982351986408694,290,11,279,0.9620689655172414,509100,2318,511418,0.0777558,0.0002681234482758,19333,86,19419,0.00295155,0.0002683227272727,300374.4398590352,75.0936099647588,16599.934875004692,4.149983718751173,True,774.4673404886846,4.255749998264946,0.0,22337.470333000965,301153.16294952214,75.28829073738054,0.4100000000000001,0.2281822239561854,0.7564255001576456,1.0,selective
main,0.4,1,0.875023850410227,0.8189285714285715,0.9393691110200736,0.8290861607142856,0.31325,0.06975,0.2435,0.2435,0.0271480140096059,0.0851449275362318,0.9770814436885866,0.4448958981791617,0.0946763055519606,279,13,266,0.953405017921147,489871,2230,492101,0.07481865,0.000268167204301,22855,102,22957,0.00348945,0.0002684192307692,273794.40610193345,68.44860152548337,14420.183165999331,3.6050457914998337,True,774.4673404886846,4.26083299680613,0.0,21132.93641700147,274573.13427541894,68.64328356885474,0.4100000000000001,0.2281822239561854,0.7564255001576456,1.0,selective
main,0.4,2,0.8885890516576715,0.8232142857142857,0.9652428810720268,0.8635232142857143,0.29,0.06175,0.22825,0.22825,0.0252960474801955,0.0871212121212121,0.9858461042409528,0.4448324672644325,0.09405120957985,247,12,235,0.951417004048583,433805,1972,435777,0.0662539499999999,0.0002682346153846,21058,92,21150,0.0032139,0.000267825,252445.01739908085,63.111254349770206,14530.536121998011,3.632634030499503,True,774.4673404886846,4.38558400128386,0.0,20734.997708001178,253223.8703235708,63.3059675808927,0.4100000000000001,0.2281822239561854,0.7564255001576456,1.0,selective
main,0.4,3,0.8817535089405883,0.8189285714285715,0.955018742190754,0.8573788690476191,0.313,0.06275,0.25025,0.25025,0.023840058453431,0.0465367965367965,0.9782460222865468,0.4396601684427243,0.0938373513534649,251,4,247,0.9840637450199204,440870,2008,442878,0.0673353,0.00026826812749,6978,32,7010,0.0010659,0.000266475,278699.3816281247,69.67484540703117,4048.954541001877,1.012238635250469,True,774.4673404886846,4.551749996608123,0.0,6154.157542001485,279478.40071861,69.8696001796525,0.4100000000000001,0.2281822239561854,0.7564255001576456,1.0,selective
main,0.4,4,0.8899595297745231,0.8246428571428571,0.9665131854332356,0.8657392857142857,0.295,0.05625,0.23875,0.23875,0.023651107006214,0.0851449275362318,0.9891327887537992,0.4433881721079302,0.0942453325426032,225,10,215,0.9555555555555556,394905,1798,396703,0.0603145499999999,0.0002680646666666,17616,78,17694,0.0026892,0.00026892,381885.1232490742,95.47128081226856,10778.1402110013,2.694535052750325,True,774.4673404886846,4.398958997626323,0.0,15932.690166999237,382663.9895485605,95.66599738714014,0.4100000000000001,0.2281822239561854,0.7564255001576456,1.0,selective
main,0.4,5,0.8889307938902508,0.8417857142857142,0.9416699960047944,0.8463813988095238,0.307,0.07125,0.23575,0.23575,0.0275642562509571,0.4891304347826087,0.9735744509369332,0.4433708971414675,0.0896431908087301,285,22,263,0.9228070175438596,500036,2278,502314,0.0763722,0.0002679726315789,38628,174,38802,0.0058986,0.0002681181818181,775053.4722761912,193.7633680690478,28826.644540993584,7.206661135248396,True,774.4673404886846,4.272624999430263,0.0,40132.38416600143,775832.2122416793,193.9580530604198,0.4100000000000001,0.2281822239561854,0.7564255001576456,1.0,selective
main,0.4,6,0.8787407695297318,0.8075,0.9637681159420288,0.8534290178571429,0.314,0.05825,0.25575,0.25575,0.0258378461834423,0.0754985754985755,0.9720605898838915,0.4395189044048598,0.0940487377765955,233,7,226,0.9699570815450644,409288,1862,411150,0.0625104,0.0002682849785407,12308,55,12363,0.0018792,0.0002684571428571,762561.3944520265,190.6403486130066,11870.729665995896,2.967682416498974,True,774.4673404886846,4.018332998384722,0.0,15512.603082999703,763339.8801255135,190.8349700313784,0.4100000000000001,0.2281822239561854,0.7564255001576456,1.0,selective
main,0.4,7,0.8853540252182347,0.815,0.9690021231422504,0.867660119047619,0.30175,0.048,0.25375,0.25375,0.0238029241953855,0.0851449275362318,0.9762682602921646,0.4382426560359112,0.0941644284796277,192,6,186,0.96875,336841,1533,338374,0.05144595,0.0002679476562499,10576,45,10621,0.0016133999999999,0.0002689,612722.5705820711,153.18064264551776,7529.547666996223,1.8823869167490557,True,774.4673404886846,3.901249998307321,0.0,10650.482749999355,613500.939172558,153.3752347931395,0.4100000000000001,0.2281822239561854,0.7564255001576456,1.0,selective
main,0.4,8,0.8687221252666278,0.8,0.9503606279168434,0.83585625,0.31525,0.0585,0.25675,0.25675,0.0251640246852419,0.0754985754985755,0.9632892804698971,0.4563162645115407,0.0995391990415837,234,13,221,0.9444444444444444,410696,1872,412568,0.0627276,0.0002680666666666,22750,104,22854,0.0034748999999999,0.0002672999999999,491356.107324842,122.8390268312105,12525.043624002135,3.1312609060005343,True,774.4673404886846,3.926000001229113,0.0,19234.36366700116,492134.5006653319,123.03362516633298,0.4100000000000001,0.2281822239561854,0.7564255001576456,1.0,selective
main,0.4,9,0.8899188876013905,0.8228571428571428,0.9688814129520604,0.8720958333333333,0.309,0.0625,0.2465,0.2465,0.0264556285878026,0.1483516483516483,0.9901509376429334,0.44168649763792,0.0940343739773798,250,15,235,0.94,438850,1997,440847,0.0670257,0.0002681028,26329,117,26446,0.00401955,0.00026797,761693.9794178216,190.4234948544554,16231.344208998053,4.057836052249513,True,774.4673404886846,4.329042003519135,0.0,23963.872707998235,762472.7758003138,190.61819395007845,0.4100000000000001,0.2281822239561854,0.7564255001576456,1.0,selective
